50
1;P001;30;1;80
2;P002;100;0;2
3;P003;80;0;10
4;P004;25;1;100
5;P005;60;1;50
6;P006;10;0;75
7;P007;200;0;20
8;P008;15;1;90
9;P009;300;0;5
10;P010;45;1;60
11;P011;55;1;70
12;P012;120;0;15
13;P013;35;1;85
14;P014;90;0;40
15;P015;20;1;95
16;P016;75;0;30
17;P017;150;0;25
18;P018;10;1;65
19;P019;500;0;1
20;P020;70;1;55
21;P021;95;0;45
22;P022;40;1;88
23;P023;110;0;12
24;P024;60;1;92
25;P025;30;0;18
26;P026;80;1;73
27;P027;55;0;33
28;P028;25;1;99
29;P029;130;0;8
30;P030;20;1;67
31;P031;65;0;27
32;P032;45;1;83
33;P033;75;0;52
34;P034;90;1;91
35;P035;10;0;6
36;P036;200;1;77
37;P037;85;0;39
38;P038;35;1;81
39;P039;150;0;14
40;P040;60;1;93
41;P041;25;0;21
42;P042;70;1;66
43;P043;95;0;48
44;P044;40;1;89
45;P045;120;0;11
46;P046;55;1;74
47;P047;30;0;19
48;P048;80;1;97
49;P049;65;0;36
50;P050;45;1;82
